epoch train_total val_total train_box val_box train_obj val_obj train_cls val_cls
1 6.9892897605896 6.640085697174072 0.9878697395324707 0.911239743232727 1.9732882976531982 2.0216431617736816 0.07665275037288666 0.06224389001727104
2 6.049249172210693 5.872793674468994 0.8273349404335022 0.7995125651359558 1.8537018299102783 1.8175972700119019 0.05887288227677345 0.05763326957821846
3 5.656177997589111 5.6273193359375 0.7628680467605591 0.7564319968223572 1.7851881980895996 1.7883007526397705 0.056649867445230484 0.05685872212052345
4 5.415273189544678 5.376751899719238 0.7243673205375671 0.7182490825653076 1.7386423349380493 1.7310963869094849 0.05479438602924347 0.05441025644540787
5 5.23282527923584 5.334001541137695 0.6954913139343262 0.713100016117096 1.7022202014923096 1.7149715423583984 0.05314846709370613 0.053529880940914154
6 5.092514514923096 5.1429643630981445 0.673544704914093 0.6837496161460876 1.6729612350463867 1.6728429794311523 0.05182955041527748 0.05137363448739052
7 4.965771198272705 5.179262161254883 0.6539822220802307 0.6846447587013245 1.6451256275177002 1.703618049621582 0.05073443427681923 0.05242011323571205
8 4.860670566558838 4.993819713592529 0.6379410028457642 0.6605510711669922 1.6213921308517456 1.641891598701477 0.0495733767747879 0.04917289316654205
9 4.765277862548828 4.9499993324279785 0.6232143640518188 0.650453507900238 1.6005443334579468 1.648038387298584 0.04866190627217293 0.04969349130988121
10 4.672529220581055 4.886850357055664 0.6090668439865112 0.6403865814208984 1.5792913436889648 1.6355665922164917 0.047903548926115036 0.04935099929571152
11 4.587756156921387 4.8233513832092285 0.5966629981994629 0.6318187713623047 1.557307243347168 1.6152164936065674 0.04713374003767967 0.049040865153074265
12 4.507411956787109 4.666009426116943 0.5844711661338806 0.6112058758735657 1.5386196374893188 1.5636942386627197 0.046436335891485214 0.04628599062561989
13 4.427541732788086 4.659367084503174 0.5728622078895569 0.6094942092895508 1.5174905061721802 1.5652601718902588 0.045740317553281784 0.0466357097029686
14 4.365626335144043 4.612593650817871 0.5637470483779907 0.6031253933906555 1.5016485452651978 1.5513737201690674 0.0452425554394722 0.04559289664030075
15 4.288830280303955 4.585684776306152 0.5525133013725281 0.596565306186676 1.4816886186599731 1.5562108755111694 0.044575244188308716 0.0466475747525692
16 4.225951671600342 4.536896705627441 0.5435081720352173 0.5909514427185059 1.4642293453216553 1.5359206199645996 0.04418136924505234 0.04621885344386101
17 4.15296745300293 4.572779178619385 0.5331312417984009 0.5934488773345947 1.443638563156128 1.5600908994674683 0.04367286339402199 0.04544374346733093
18 4.091279029846191 4.567287921905518 0.5244247913360596 0.5924009084701538 1.4258877038955688 1.5605109930038452 0.0432673916220665 0.04477250576019287
19 4.028836250305176 4.451521396636963 0.5154327750205994 0.5753931999206543 1.4088213443756104 1.530489444732666 0.042850907891988754 0.044066235423088074
20 3.963465929031372 4.462686538696289 0.5064518451690674 0.5790685415267944 1.388715386390686 1.5231287479400635 0.04249144718050957 0.044215187430381775
21 3.9000086784362793 4.430181980133057 0.49766862392425537 0.5719213485717773 1.3694956302642822 1.5264919996261597 0.04216979816555977 0.04408324882388115
22 3.8385281562805176 4.42554235458374 0.48933497071266174 0.5706043839454651 1.3500304222106934 1.528773307800293 0.041822876781225204 0.04374721273779869
23 3.771021604537964 4.435192584991455 0.48031461238861084 0.5706587433815002 1.32789945602417 1.538656234741211 0.04154916852712631 0.043242357671260834
