step total box obj cls lr
7655 5.152768 0.682978 1.691378 0.046501 0.000836220
7722 5.309190 0.723985 1.645449 0.043818 0.000836220
7786 4.951477 0.656673 1.628830 0.039281 0.000836220
7861 4.914749 0.610385 1.812270 0.050553 0.000836220
7927 5.890340 0.849260 1.602815 0.041227 0.000836220
8004 4.692368 0.608079 1.603835 0.048137 0.000836220
8078 4.356718 0.551864 1.550007 0.047389 0.000836220
8137 5.500545 0.781241 1.556052 0.038289 0.000836220
8217 5.309436 0.724037 1.640737 0.048516 0.000836220
8273 5.673026 0.790402 1.677300 0.043717 0.000836220
8339 4.841321 0.629443 1.637462 0.056645 0.000795954
8411 4.396981 0.551042 1.592553 0.049216 0.000795954
8468 5.312303 0.704808 1.732072 0.056192 0.000795954
8542 5.182769 0.690433 1.687291 0.043315 0.000795954
8620 4.266644 0.493128 1.735527 0.065479 0.000795954
8692 6.089568 0.905325 1.520900 0.042043 0.000795954
8764 4.881365 0.673991 1.470093 0.041314 0.000795954
8842 4.499171 0.558620 1.656791 0.049278 0.000795954
8898 5.236143 0.703093 1.671138 0.049539 0.000795954
8968 5.790283 0.824628 1.621642 0.045503 0.000795954
9031 5.174548 0.740255 1.440015 0.033260 0.000795954
9125 5.928290 0.860688 1.574339 0.050511 0.000795954
9188 4.893609 0.641184 1.646249 0.041441 0.000795954
9265 5.788021 0.823618 1.622301 0.047632 0.000752500
9328 5.169747 0.700415 1.619885 0.047786 0.000752500
9398 4.370545 0.528436 1.678337 0.050026 0.000752500
9463 5.639590 0.825983 1.470469 0.039205 0.000752500
9524 5.474084 0.740839 1.726789 0.043098 0.000752500
9584 4.553875 0.579115 1.614449 0.043852 0.000752500
9652 4.503598 0.589529 1.505624 0.050331 0.000752500
9715 4.533926 0.590273 1.545546 0.037017 0.000752500
9783 4.261310 0.541477 1.510460 0.043465 0.000752500
9831 5.446446 0.746210 1.669747 0.045649 0.000752500
9903 4.866973 0.654336 1.546927 0.048367 0.000752500
9969 4.398334 0.569906 1.510403 0.038402 0.000752500
10045 5.223607 0.725440 1.557183 0.039223 0.000752500
10106 4.002978 0.498210 1.466816 0.045114 0.000752500
10162 5.488348 0.760409 1.642409 0.043893 0.000752500
10227 4.112566 0.544015 1.353226 0.039266 0.000706335
10284 4.625086 0.596710 1.600565 0.040972 0.000706335
10350 5.137069 0.700354 1.580440 0.054858 0.000706335
10423 4.176798 0.510606 1.564317 0.059449 0.000706335
10498 5.426803 0.764826 1.563412 0.039258 0.000706335
10568 5.328444 0.748143 1.550607 0.037122 0.000706335
10639 4.386725 0.543764 1.623055 0.044852 0.000706335
10699 4.885904 0.657575 1.563765 0.034265 0.000706335
10766 5.808882 0.813218 1.702717 0.040074 0.000706335
10834 5.182692 0.712042 1.582727 0.039755 0.000706335
10916 4.759414 0.639142 1.522639 0.041063 0.000706335
10974 4.536550 0.571488 1.627955 0.051153 0.000706335
11045 4.473039 0.602661 1.414759 0.044974 0.000706335
11109 4.900465 0.665614 1.525380 0.047014 0.000657963
11167 4.449540 0.567922 1.553444 0.056486 0.000657963
11223 4.303421 0.521955 1.644974 0.048671 0.000657963
11285 4.303650 0.551614 1.492316 0.053266 0.000657963
11347 5.316850 0.757263 1.496614 0.033918 0.000657963
11415 4.784426 0.641773 1.532067 0.043494 0.000657963
11497 4.885287 0.685034 1.427902 0.032217 0.000657963
11570 5.309139 0.748590 1.529664 0.036524 0.000657963
11668 5.032583 0.657706 1.698930 0.045121 0.000657963
11750 5.281313 0.718815 1.647910 0.039325 0.000657963
11823 5.245953 0.715748 1.624246 0.042968 0.000657963
11894 5.036744 0.658953 1.698219 0.043761 0.000657963
11951 4.351577 0.561616 1.495268 0.048229 0.000657963
12012 4.858532 0.676730 1.434336 0.040546 0.000657963
12080 4.273478 0.563500 1.397594 0.058386 0.000607916
12151 5.196112 0.711137 1.597549 0.042877 0.000607916
12244 4.537235 0.604251 1.478255 0.037727 0.000607916
12307 5.627290 0.809636 1.545798 0.033313 0.000607916
12361 4.872879 0.651314 1.575447 0.040862 0.000607916
12414 5.031639 0.685057 1.558389 0.047963 0.000607916
12468 4.332054 0.542656 1.570757 0.048015 0.000607916
12538 4.390577 0.562125 1.541105 0.038849 0.000607916
12593 4.541377 0.609641 1.462018 0.031153 0.000607916
12687 4.626175 0.601790 1.571194 0.046029 0.000607916
12735 5.504970 0.806698 1.431654 0.039823 0.000607916
12816 4.790336 0.653259 1.484379 0.039664 0.000607916
12911 4.495847 0.613368 1.393046 0.035962 0.000607916
12987 5.625159 0.816092 1.506421 0.038278 0.000556742
13082 5.200911 0.731224 1.509178 0.035610 0.000556742
13152 5.553770 0.793164 1.550759 0.037191 0.000556742
13227 4.542751 0.591981 1.523330 0.059516 0.000556742
13298 5.294825 0.730268 1.601776 0.041711 0.000556742
13368 5.364782 0.774153 1.459827 0.034190 0.000556742
13450 5.372450 0.737066 1.640094 0.047029 0.000556742
