step total box obj cls lr
7655 5.262691 0.694194 1.743069 0.048651 0.000836220
7722 5.373673 0.736312 1.644415 0.047700 0.000836220
7786 4.855820 0.643022 1.600123 0.040584 0.000836220
7861 4.901099 0.605986 1.819065 0.052105 0.000836220
7927 5.863927 0.841323 1.615220 0.042092 0.000836220
8004 4.440785 0.566261 1.562175 0.047305 0.000836220
8078 4.284091 0.541654 1.530432 0.045388 0.000836220
8137 5.351553 0.749930 1.563882 0.038021 0.000836220
8217 5.043333 0.670098 1.644622 0.048223 0.000836220
8273 5.618670 0.783849 1.655255 0.044167 0.000836220
8339 4.986019 0.633485 1.762414 0.056181 0.000795954
8411 4.271482 0.522965 1.606449 0.050207 0.000795954
8468 5.207457 0.690145 1.700395 0.056334 0.000795954
8542 5.155019 0.690393 1.659776 0.043279 0.000795954
8620 4.190344 0.482163 1.717576 0.061954 0.000795954
8692 6.046474 0.886965 1.568983 0.042664 0.000795954
8764 4.861227 0.657317 1.531756 0.042887 0.000795954
8842 4.325681 0.540131 1.571088 0.053939 0.000795954
8898 5.213912 0.689733 1.711462 0.053783 0.000795954
8968 5.733304 0.817180 1.603637 0.043766 0.000795954
9031 5.072833 0.724468 1.416573 0.033921 0.000795954
9125 5.705956 0.821366 1.549204 0.049923 0.000795954
9188 4.813704 0.624754 1.647282 0.042653 0.000795954
9265 5.802701 0.816652 1.665129 0.054310 0.000752500
9328 5.138891 0.693294 1.623717 0.048704 0.000752500
9398 4.436947 0.543724 1.670552 0.047775 0.000752500
9463 5.511811 0.805747 1.441701 0.041376 0.000752500
9524 5.368743 0.709076 1.779218 0.044143 0.000752500
9584 4.585483 0.578561 1.647672 0.045007 0.000752500
9652 4.366350 0.556726 1.531181 0.051538 0.000752500
9715 4.569575 0.594972 1.557351 0.037366 0.000752500
9783 4.193630 0.521356 1.545576 0.041274 0.000752500
9831 5.414002 0.729764 1.718000 0.047180 0.000752500
9903 4.966768 0.669006 1.574366 0.047375 0.000752500
9969 4.333185 0.568536 1.452589 0.037917 0.000752500
10045 5.179293 0.728633 1.493964 0.042164 0.000752500
10106 3.929234 0.491181 1.428790 0.044537 0.000752500
10162 5.406870 0.740466 1.661909 0.042634 0.000752500
10227 4.005072 0.514466 1.389919 0.042825 0.000706335
10284 4.469224 0.559311 1.628996 0.043675 0.000706335
10350 5.107691 0.692478 1.590934 0.054367 0.000706335
10423 4.186357 0.513256 1.560219 0.059859 0.000706335
10498 5.311459 0.737650 1.583861 0.039347 0.000706335
10568 5.461336 0.773778 1.556126 0.036320 0.000706335
10639 4.425851 0.549117 1.636236 0.044030 0.000706335
10699 4.686181 0.634543 1.478551 0.034917 0.000706335
10766 5.659132 0.795482 1.640985 0.040735 0.000706335
10834 4.946199 0.670795 1.547894 0.044331 0.000706335
10916 4.744008 0.633904 1.535937 0.038552 0.000706335
10974 4.482296 0.561113 1.621854 0.054876 0.000706335
11045 4.386932 0.583910 1.422165 0.045218 0.000706335
11109 4.871283 0.660687 1.521412 0.046436 0.000657963
11167 4.384707 0.554624 1.556259 0.055329 0.000657963
11223 4.173114 0.489267 1.677739 0.049039 0.000657963
11285 4.391617 0.549265 1.591886 0.053409 0.000657963
11347 5.246532 0.729450 1.563383 0.035901 0.000657963
11415 4.701135 0.624509 1.533759 0.044832 0.000657963
11497 4.745562 0.661130 1.401836 0.038073 0.000657963
11570 5.290109 0.746536 1.519463 0.037965 0.000657963
11668 4.934542 0.641621 1.679498 0.046937 0.000657963
11750 5.411289 0.743445 1.654650 0.039414 0.000657963
11823 5.217303 0.717031 1.585990 0.046157 0.000657963
11894 4.864337 0.636235 1.639101 0.044064 0.000657963
11951 4.145382 0.532604 1.432482 0.049879 0.000657963
12012 4.824526 0.664018 1.463080 0.041356 0.000657963
12080 4.050044 0.534102 1.318035 0.061498 0.000607916
12151 5.205206 0.712445 1.598440 0.044544 0.000607916
12244 4.561763 0.602271 1.512831 0.037578 0.000607916
12307 5.412663 0.770471 1.525491 0.034816 0.000607916
12361 4.706697 0.624197 1.543889 0.041823 0.000607916
12414 4.970385 0.675070 1.545689 0.049343 0.000607916
12468 4.211272 0.518304 1.570466 0.049283 0.000607916
12538 4.265560 0.540084 1.525245 0.039896 0.000607916
12593 4.519836 0.599918 1.487561 0.032683 0.000607916
12687 4.652132 0.606301 1.575836 0.044790 0.000607916
12735 5.377481 0.786380 1.408329 0.037252 0.000607916
12816 4.688056 0.622277 1.537452 0.039219 0.000607916
12911 4.356058 0.581174 1.413607 0.036584 0.000607916
12987 5.264324 0.759742 1.427989 0.037627 0.000556742
13082 5.069861 0.710575 1.481957 0.035028 0.000556742
13152 5.408670 0.770724 1.516714 0.038335 0.000556742
13227 4.608175 0.608973 1.503345 0.059965 0.000556742
13298 5.136221 0.707720 1.556578 0.041044 0.000556742
13368 5.380728 0.771353 1.491115 0.032850 0.000556742
13450 5.263309 0.717030 1.631903 0.046257 0.000556742
13520 4.180805 0.547998 1.394539 0.046276 0.000556742
13606 4.971581 0.648814 1.681490 0.046020 0.000556742
13688 4.178528 0.564214 1.313081 0.044379 0.000556742
13754 4.309241 0.565003 1.441624 0.042603 0.000556742
13819 5.169424 0.731720 1.470628 0.040196 0.000556742
13893 5.038719 0.695947 1.521410 0.037574 0.000505000
13960 4.814500 0.634005 1.595376 0.049098 0.000505000
14040 4.024115 0.514567 1.408516 0.042764 0.000505000
14103 3.599433 0.409250 1.494213 0.058969 0.000505000
14177 4.491933 0.587966 1.508911 0.043192 0.000505000
14250 3.938891 0.468429 1.549933 0.046815 0.000505000
14336 4.487494 0.593781 1.474632 0.043956 0.000505000
14397 4.945686 0.684936 1.486415 0.034590 0.000505000
14465 5.171172 0.746963 1.399319 0.037036 0.000505000
